title,company,location,salary,category,timestamp,industryCode,industry
Platform Administrator,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time",New Grad,2022-06-23 21:30:12 UTC,68.0,higher education
ARC Support Analyst II,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time","Data Analyst, New Grad",2023-01-24 04:31:12 UTC,68.0,higher education
Financial Analyst,University of British Columbia,British Columbia,"$5,906–$8,508 a monthFull-time",Financial Analyst,2023-01-13 00:30:33 UTC,68.0,higher education
Research Grants Facilitator,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time",New Grad,2022-10-29 00:51:07 UTC,68.0,higher education
Support Analyst II,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time",Risk Analyst,2023-01-27 00:30:18 UTC,68.0,higher education
Systems Analyst I,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time",Data Analyst,2022-11-21 02:01:00 UTC,68.0,higher education
Technology Support Analyst,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time","Risk Analyst, Data Analyst",2023-01-12 16:32:45 UTC,68.0,higher education
Enrolment Services Advisor,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time",New Grad,2023-01-12 18:18:32 UTC,68.0,higher education
"Research Manager, Reaction Carbon Capture",University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time",New Grad,2022-07-06 23:30:59 UTC,68.0,higher education
Financial Analyst,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time",Financial Analyst,2022-11-09 16:06:12 UTC,68.0,higher education
Senior Administrative Business Manager,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time",New Grad,2022-12-19 17:32:15 UTC,68.0,higher education
Programmer Analyst l,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time",Software Developer,2022-07-08 19:30:23 UTC,68.0,higher education
Quality Assurance Analyst II,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time",Risk Analyst,2022-07-09 00:30:20 UTC,68.0,higher education
Programmer Analyst l,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time",Software Developer,2022-11-26 03:34:36 UTC,68.0,higher education
Communications & Marketing Coordinator - Midwifery,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time","Marketing Coordinator, Project Coordinator",2022-11-10 16:46:27 UTC,68.0,higher education
Finance Support Analyst,University of British Columbia,"University of British Columbia (Vancouver campus), BC","$5,906–$8,508 a monthFull-time",Financial Analyst,2022-06-29 01:30:21 UTC,68.0,higher education
Quality Assurance Analyst II,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time",Risk Analyst,2022-11-28 19:02:04 UTC,68.0,higher education
Core Facility Director,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time",New Grad,2022-09-27 00:50:24 UTC,68.0,higher education
"Manager, Administration and Operations",University of British Columbia,"University of British Columbia (Okanagan campus), BC","$5,906–$8,508 a monthFull-time",New Grad,2022-12-08 19:47:59 UTC,68.0,higher education
Research Development Associate,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time",New Grad,2022-06-17 01:30:38 UTC,68.0,higher education
Sr Web Programmer and Digital Design Production Specialist,University of British Columbia,"Hybrid remote in Vancouver, BC","$5,906–$8,508 a monthFull-time","Web Developer, Frontend Developer, New Grad, UI UX Designer",2023-01-04 16:02:40 UTC,68.0,higher education
Research Manager,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time",New Grad,2022-12-22 23:18:02 UTC,68.0,higher education
Communications Coordinator,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time",Marketing Coordinator,2022-11-01 11:31:13 UTC,68.0,higher education
Clinical Trials Unit Manager,University of British Columbia,British Columbia,"$5,906–$8,508 a monthFull-time",New Grad,2022-05-27 17:30:19 UTC,68.0,higher education
Administrative Manager,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time",New Grad,2023-01-06 20:31:19 UTC,68.0,higher education
Financial Analyst,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time",Financial Analyst,2022-10-21 01:30:40 UTC,68.0,higher education
"Project Developer, SEEDS Sustainability Program",University of British Columbia,"Hybrid remote in Vancouver, BC","$5,906–$8,508 a monthFull-time",Software Developer,2022-11-17 23:51:17 UTC,68.0,higher education
Research Engineer,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time",Electrical Engineer,2023-01-14 21:03:32 UTC,68.0,higher education
Financial Analyst,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time","Risk Analyst, New Grad, Financial Analyst",2022-07-27 03:30:12 UTC,68.0,higher education
Business Analyst,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time","Risk Analyst, Business Analyst",2022-11-18 22:33:15 UTC,68.0,higher education
Systems and Security Analyst,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time","Risk Analyst, Data Analyst",2023-01-16 16:32:20 UTC,68.0,higher education
ELT Programmer Analyst,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time","Software Developer, New Grad",2023-01-03 16:19:40 UTC,68.0,higher education
Administrator,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time",New Grad,2022-07-13 00:00:34 UTC,68.0,higher education
Health Research Development Officer,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time",New Grad,2022-06-09 23:30:30 UTC,68.0,higher education
Education Programs Manager,University of British Columbia,British Columbia,"$5,906–$8,508 a monthFull-time",New Grad,2022-11-05 06:01:43 UTC,68.0,higher education
Project Manager,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time",New Grad,2022-06-07 20:00:24 UTC,68.0,higher education
Supply Chain Analyst,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time",Data Analyst,2022-11-02 17:15:45 UTC,68.0,higher education
Business Technology Analyst,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time","Business Analyst, Data Analyst",2022-06-20 20:01:35 UTC,68.0,higher education
"Manager, Student Affairs",University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time",New Grad,2022-11-29 18:32:16 UTC,68.0,higher education
Systems and Security Analyst,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time",Risk Analyst,2022-11-03 01:15:45 UTC,68.0,higher education
Project Coordinator,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time",Project Coordinator,2022-10-20 19:30:34 UTC,68.0,higher education
"Program Manager, Digital Career Learning",University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time",New Grad,2022-10-20 18:06:43 UTC,68.0,higher education
Quality Assurance Analyst,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a monthFull-time",Risk Analyst,2022-11-15 22:47:14 UTC,68.0,higher education
Career Strategist,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a month",New Grad,2022-06-24 19:00:24 UTC,68.0,higher education
"Equity, Diversity and Inclusion Analyst",University of British Columbia,"Vancouver, BC","$5,906–$8,508 a month",HR Analyst,2022-06-10 08:00:10 UTC,68.0,higher education
Research Administrator,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a month",New Grad,2022-06-10 20:00:14 UTC,68.0,higher education
"Manager, Communications, Culture & Engagement - Vancouver",University of British Columbia,"Vancouver, BC","$5,906–$8,508 a month",New Grad,2022-07-05 15:00:56 UTC,68.0,higher education
"Research Manager, THOR",University of British Columbia,"Vancouver, BC","$5,906–$8,508 a month",New Grad,2022-07-06 23:30:41 UTC,68.0,higher education
Research Manager,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a month",New Grad,2022-06-25 05:00:27 UTC,68.0,higher education
Quality Assurance Analyst II,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a month",Risk Analyst,2022-05-31 19:30:11 UTC,68.0,higher education
Administrator,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a month",New Grad,2022-06-17 01:30:34 UTC,68.0,higher education
"Manager, Communications, Culture & Engagement",University of British Columbia,"Vancouver, BC","$5,906–$8,508 a month",New Grad,2022-07-01 04:00:18 UTC,68.0,higher education
Communications and Change Management Specialist,University of British Columbia,"University of British Columbia (Okanagan campus), BC","$5,906–$8,508 a month",Risk Analyst,2022-07-13 06:30:20 UTC,68.0,higher education
Software Developer,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a month",Software Developer,2022-07-13 02:00:34 UTC,68.0,higher education
First Year Experience Coordinator,University of British Columbia,"Vancouver, BC","$5,906–$8,508 a month",New Grad,2022-06-07 00:00:27 UTC,68.0,higher education
Enrolment & Scheduling Analyst (Leave Replacement),University of British Columbia,"Vancouver, BC","$5,906–$8,508 a month","New Grad, Data Analyst",2022-06-20 19:03:02 UTC,68.0,higher education
Senior HR Manager,University of British Columbia,"Vancouver, BC","$5,469–$7,878 a monthTemporary +1",New Grad,2022-06-04 07:00:27 UTC,68.0,higher education
Senior HR Manager - Vancouver,University of British Columbia,"Vancouver, BC","$5,469–$7,878 a monthTemporary",New Grad,2022-06-07 20:00:12 UTC,68.0,higher education
"Curriculum Advisor, General Surgery Residency Program",University of British Columbia,British Columbia,"$5,469–$7,878 a monthPart-timeEvening shift",New Grad,2022-06-23 01:00:44 UTC,68.0,higher education
Campus Health Specialist (Community Dietitian),University of British Columbia,"University of British Columbia (Okanagan campus), BC","$5,469–$7,878 a monthPart-time +1",New Grad,2022-07-23 00:00:27 UTC,68.0,higher education
Research Coordinator,University of British Columbia,British Columbia,"$5,469–$7,878 a monthPart-time",Project Coordinator,2022-09-21 11:19:36 UTC,68.0,higher education
GIS and Database Manager,University of British Columbia,"Vancouver, BC","$5,469–$7,878 a monthPart-time",New Grad,2022-07-15 22:00:22 UTC,68.0,higher education
Co-op Coordinator B,University of British Columbia,"Vancouver, BC","$5,469–$7,878 a monthFull-timeWeekend availability +1","Intern, New Grad",2022-11-09 22:20:40 UTC,68.0,higher education
Senior Technology Research Project Coordinator,University of British Columbia,British Columbia,"$5,469–$7,878 a monthFull-timeWeekend availability",Project Coordinator,2022-12-15 00:17:12 UTC,68.0,higher education
Co-op Coordinator,University of British Columbia,"Vancouver, BC","$5,469–$7,878 a monthFull-timeWeekend availability","Intern, New Grad",2022-11-21 23:17:15 UTC,68.0,higher education
Co-op Coordinator,University of British Columbia,"Vancouver, BC","$5,469–$7,878 a monthFull-timeWeekend availability","Intern, New Grad",2022-11-23 22:49:11 UTC,68.0,higher education
Co-op Coordinator,University of British Columbia,"Vancouver, BC","$5,469–$7,878 a monthFull-timeWeekend availability","Intern, New Grad",2022-11-24 03:02:12 UTC,68.0,higher education
MFRE Data Analytics Coordinator,University of British Columbia,"Vancouver, BC","$5,469–$7,878 a monthFull-timeEvening shift",Data Scientist,2022-07-16 01:30:09 UTC,68.0,higher education
Support Analyst I,University of British Columbia,"Vancouver, BC","$5,469–$7,878 a monthFull-time",Risk Analyst,2023-01-24 23:01:36 UTC,68.0,higher education
Research Cluster Coordinator,University of British Columbia,"University of British Columbia (Okanagan campus), BC","$5,469–$7,878 a monthFull-time",New Grad,2023-01-27 20:18:58 UTC,68.0,higher education
Web Application Developer,University of British Columbia,"Hybrid remote in Vancouver, BC","$5,469–$7,878 a monthFull-time","Web Developer, Frontend Developer, Software Developer",2022-10-28 17:32:05 UTC,68.0,higher education
Business Analyst I,University of British Columbia,British Columbia,"$5,469–$7,878 a monthFull-time","Business Analyst, Data Analyst, Risk Analyst",2022-09-21 10:16:01 UTC,68.0,higher education
Co-op Coordinator,University of British Columbia,"Remote in Vancouver, BC","$5,469–$7,878 a monthFull-time","Intern, New Grad",2022-11-23 10:01:48 UTC,68.0,higher education
Biostatistician / Data Analyst,University of British Columbia,British Columbia,"$5,469–$7,878 a monthFull-time","Data Analyst, Data Scientist",2022-10-19 21:00:31 UTC,68.0,higher education
Software Engineer,University of British Columbia,"Vancouver, BC","$5,469–$7,878 a monthFull-time",Software Developer,2022-10-19 01:50:44 UTC,68.0,higher education
Inventory Data Analyst,University of British Columbia,"Vancouver, BC","$5,469–$7,878 a monthFull-time","Business Analyst, Data Analyst",2022-06-14 02:00:21 UTC,68.0,higher education
Technical Analyst,University of British Columbia,British Columbia,"$5,469–$7,878 a monthFull-time",Data Analyst,2022-12-06 02:47:52 UTC,68.0,higher education
Support Analyst I,University of British Columbia,British Columbia,"$5,469–$7,878 a monthFull-time",Risk Analyst,2022-12-09 16:46:43 UTC,68.0,higher education
Executive Research Coordinator,University of British Columbia,"Vancouver, BC","$5,469–$7,878 a monthFull-time",New Grad,2022-06-16 05:31:31 UTC,68.0,higher education
Support Analyst I,University of British Columbia,"Vancouver, BC","$5,469–$7,878 a monthFull-time",Risk Analyst,2022-06-16 02:00:18 UTC,68.0,higher education
Biostatistician,University of British Columbia,British Columbia,"$5,469–$7,878 a monthFull-time",New Grad,2022-11-28 19:59:09 UTC,68.0,higher education
Research Operations Manager,University of British Columbia,British Columbia,"$5,469–$7,878 a monthFull-time",New Grad,2022-10-31 17:32:18 UTC,68.0,higher education
Science Education Specialist (SES),University of British Columbia,"Vancouver, BC","$5,469–$7,878 a monthFull-time",New Grad,2023-01-06 20:34:13 UTC,68.0,higher education
Research Evaluation Officer,University of British Columbia,"Vancouver, BC","$5,469–$7,878 a monthFull-time",New Grad,2022-12-12 18:48:49 UTC,68.0,higher education
Software Developer,University of British Columbia,"Vancouver, BC","$5,469–$7,878 a monthFull-time","Risk Analyst, Software Developer",2022-10-24 19:01:30 UTC,68.0,higher education
